ID X Y Z 
0 0.0000000000000000e+00 0.5257311121191336e+00 0.8506508083520399e+00 
1 0.0000000000000000e+00 -0.5257311121191336e+00 0.8506508083520399e+00
2 0.5257311121191336e+00 0.8506508083520399e+00 0.0000000000000000e+00
3 0.8506508083520399e+00 0.0000000000000000e+00 0.5257311121191336e+00
4 0.0000000000000000e+00 0.5257311121191336e+00 -0.8506508083520399e+00
5 -0.5257311121191336e+00 0.8506508083520399e+00 0.0000000000000000e+00
6 -0.8506508083520399e+00 0.0000000000000000e+00 0.5257311121191336e+00
7 0.5257311121191336e+00 -0.8506508083520399e+00 0.0000000000000000e+00
8 0.8506508083520399e+00 0.0000000000000000e+00 -0.5257311121191336e+00
9 -0.5257311121191336e+00 -0.8506508083520399e+00 0.0000000000000000e+00
10 -0.8506508083520399e+00 0.0000000000000000e+00 -0.5257311121191336e+00
11 0.0000000000000000e+00 -0.5257311121191336e+00 -0.8506508083520399e+00
